item_id,item_name,item_description,item_cost_price,item_retail_price
0-493-95641-7,Up-sized national Graphical User Interface,embrace web-enabled relationships,4176.51,7546.17
1-01-376732-2,Automated composite application,integrate collaborative vortals,1684.35,3260.79
0-9514693-2-0,Enterprise-wide zero-defect pricing structure,leverage cross-media schemas,4171.14,11373.77
0-16-871315-2,Profound asynchronous instruction set,drive plug-and-play ROI,9583.18,23026.34
1-67482-003-8,Total attitude-oriented function,revolutionize sticky niches,8366.88,22428.07
0-86177-963-0,Total asymmetric array,embrace plug-and-play infrastructures,8147.45,23833.26
1-9751-8430-0,Persevering radical portal,aggregate sticky infrastructures,794.29,1372.16
1-64504-451-3,Sharable heuristic model,grow viral partnerships,2002.83,4509.78
1-4274-3175-2,Front-line 4thgeneration solution,synergize granular infrastructures,9868.44,16035.35
1-4457-9816-6,Triple-buffered national matrix,synthesize 24/365 synergies,929.43,2207.21
0-02-947686-0,Multi-lateral zero-defect core,matrix front-end niches,3149.49,6325.75
1-884638-12-0,Multi-lateral context-sensitive instruction set,transition wireless functionalities,4122.23,4834.53
0-447-44840-4,Cloned full-range moratorium,disintermediate vertical markets,1128.4,1262.98
0-9878492-7-1,Decentralized didactic throughput,maximize back-end solutions,4418.58,6788.22
1-278-82083-3,Sharable well-modulated frame,transition cross-platform systems,7445.9,16190.73
0-458-05510-7,Switchable non-volatile protocol,iterate plug-and-play action-items,6333.25,8943.54
0-489-42461-9,Phased heuristic intranet,aggregate magnetic e-markets,1007.68,1792.93
0-383-11312-1,Reactive object-oriented alliance,syndicate proactive action-items,1170.35,2222.55
1-5437-3256-9,Sharable maximized migration,envisioneer best-of-breed action-items,8024.52,9627.81
0-7127-8604-X,Open-source static process improvement,extend visionary functionalities,4379.99,12943.77
0-688-92085-3,Self-enabling leadingedge open system,integrate one-to-one applications,8402.58,20810.3
1-118-05964-6,Versatile static archive,maximize real-time vortals,4715.4,10618.99
0-596-89331-0,User-centric real-time customer loyalty,empower cutting-edge vortals,8780.02,18131.99
1-107-39856-8,Secured transitional open architecture,transition killer mindshare,8675.24,21728.93
1-4545-6428-8,Ameliorated tangible conglomeration,productize 24/365 bandwidth,5829.71,17343.55
0-87173-237-8,Customizable reciprocal contingency,target user-centric bandwidth,9808.19,17140.63
1-56486-493-6,Stand-alone scalable productivity,facilitate best-of-breed convergence,7285.8,14334.58
1-00-096050-1,Secured fault-tolerant solution,mesh 24/7 bandwidth,443.75,1143.93
1-129-18864-7,Reduced next generation knowledge user,enhance cross-media systems,290.18,652.18
0-7631-7289-8,Object-based systemic software,synergize dynamic mindshare,8139.64,21575.53
1-320-98453-3,Managed value-added neural-net,expedite plug-and-play e-business,4070.52,11391.13
0-667-81667-4,Customizable holistic installation,deploy cross-media e-markets,6808.85,8448.28
1-965813-56-9,Configurable analyzing methodology,deploy granular initiatives,6922.99,15267.44
0-06-087973-4,Versatile national benchmark,engage turn-key partnerships,4564.47,13334.63
1-67777-184-4,Quality-focused cohesive orchestration,repurpose proactive initiatives,2854.05,5578.74
0-248-44413-1,Profound eco-centric policy,incubate virtual communities,8102.07,20345.94
1-229-04757-3,Streamlined responsive archive,aggregate wireless ROI,5245.53,14479.15
1-66068-167-7,Horizontal attitude-oriented adapter,deliver seamless users,8345.3,10996.65
1-222-32214-5,Re-engineered maximized artificial intelligence,unleash synergistic markets,3830.25,4362.38
0-232-08154-9,Triple-buffered asynchronous hierarchy,enhance robust technologies,1776.04,2984.05
0-942663-19-5,Sharable directional matrices,whiteboard viral content,5535.75,6749.45
1-184-45618-6,Networked national initiative,grow best-of-breed mindshare,9783.51,23633.39
1-60642-190-5,Enhanced uniform methodology,strategize e-business partnerships,4100.31,10595.29
1-04-310548-4,Upgradable clear-thinking frame,incubate real-time partnerships,1579.61,2028.0
1-227-05897-7,Cloned user-facing concept,engage compelling info-mediaries,5135.48,5729.96
